id,mr,team,text,category,type,bleu,meteor,ter,systemtype,triplesize,fluency,grammar,semantics
1,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,adapt,"the 29075 club is the dictcoverer, carl a. wirtsen.",CelestialBody,unseen,0.232,0.1859555124799,90.909,neural,1triple,1.6666666666666667,1.6666666666666667,1.3333333333333333
2,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,baseline,the administrative government is governed by the flemish government.,CelestialBody,unseen,0.21,0.0467640918580376,90.909,neural,1triple,2.75,2.75,1.0
3,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,melbourne,1950 da is carl a. wirtanen.,CelestialBody,unseen,0.126,0.320359938025627,81.818,neural,1triple,2.0,2.3333333333333335,1.0
4,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,pkuwriter,carl a. wirtanen discovered (29075) 1950 da.,CelestialBody,unseen,0.161,0.561305121420064,54.545,neural,1triple,3.0,2.6666666666666665,2.3333333333333335
5,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,tilburg-nmt,the chair of (29075) 1950 da is carl a. wirtanen.,CelestialBody,unseen,0.225,0.430546639634244,81.818,neural,1triple,1.75,2.25,1.5
6,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,tilburg-pipe,,CelestialBody,unseen,0,0,90.909,template,1triple,1.0,1.0,1.0
7,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,tilburg-smt,carl a. wirtanen discoverer (29075) 1950 da,CelestialBody,unseen,0.17,0.513987290042698,54.545,smt,1triple,1.0,1.6666666666666667,2.3333333333333335
8,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,upf-forge,carl a. wirtanen discovered (29075) 1950 da.,CelestialBody,unseen,0.161,0.561305121420064,54.545,template,1triple,3.0,2.75,2.75
9,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,vietnam,null,CelestialBody,unseen,0,0,90.909,template,1triple,1.0,1.0,1.0
10,(29075)_1950_DA | discoverer | Carl_A._Wirtanen,webnlg,"( 29075 ) 1950 da was discovered by carl a wirtanen .
",CelestialBody,unseen,1,1,1,human,1triple,2.75,2.5,2.5
11,"1001_Gaussia | formerName | ""1923 OAA907 XC""",adapt,the former name for the former name for 11 gunger is 1923. one of the former name is 1923.,CelestialBody,unseen,0.138,0.197264788906418,132.353,neural,1triple,1.6666666666666667,1.6666666666666667,1.6666666666666667
12,"1001_Gaussia | formerName | ""1923 OAA907 XC""",baseline,the operator of antwerp is mayor.,CelestialBody,unseen,0.135,0.0642570281124498,88.235,neural,1triple,2.3333333333333335,2.0,2.3333333333333335
13,"1001_Gaussia | formerName | ""1923 OAA907 XC""",melbourne,1001 gaussia is 1923 oaa907 xc.,CelestialBody,unseen,0.197,0.39015359220759,52.941,neural,1triple,2.0,1.6666666666666667,1.6666666666666667
14,"1001_Gaussia | formerName | ""1923 OAA907 XC""",pkuwriter,the birth date is called the 1923 oaa907 xc.,CelestialBody,unseen,0.199,0.300957780487565,70.588,neural,1triple,2.0,1.75,1.5
15,"1001_Gaussia | formerName | ""1923 OAA907 XC""",tilburg-nmt,the previous name of 1001 gaussia was 1923 oaa907 xc.,CelestialBody,unseen,0.442,0.486993459345971,52.941,neural,1triple,3.0,2.3333333333333335,3.0
16,"1001_Gaussia | formerName | ""1923 OAA907 XC""",tilburg-pipe,1001 gaussia was formerly called 1923 oaa907 xc.,CelestialBody,unseen,0.32,0.935478927203065,35.294,template,1triple,3.0,3.0,3.0
17,"1001_Gaussia | formerName | ""1923 OAA907 XC""",tilburg-smt,1001 gaussia the 1923 oaa907 xc,CelestialBody,unseen,0.206,0.329255312867682,44.118,smt,1triple,1.8,1.6,2.2
18,"1001_Gaussia | formerName | ""1923 OAA907 XC""",upf-forge,1001 gaussia was formerly known as 1923 oaa907 xc.,CelestialBody,unseen,0.773,1,17.647,template,1triple,3.0,3.0,3.0
19,"1001_Gaussia | formerName | ""1923 OAA907 XC""",vietnam,the previous name of 1001 gaussia was the 1923 oaa 907 xc.,CelestialBody,unseen,0.29,0.390434899344171,61.765,template,1triple,3.0,3.0,3.0
20,"1001_Gaussia | formerName | ""1923 OAA907 XC""",webnlg,"1001 gaussia was formerly known as 1923 oaa907 xc .
",CelestialBody,unseen,1,1,1,human,1triple,2.6666666666666665,2.6666666666666665,3.0
21,101_Helena | apoapsis | 441092000.0 (kilometres),adapt,the runway of 01 helery is 440 9.0 square kilometres.,CelestialBody,unseen,0.233,0.202072335456908,68.571,neural,1triple,1.6666666666666667,1.6666666666666667,1.0
22,101_Helena | apoapsis | 441092000.0 (kilometres),baseline,the administrative government is governed by the flemish government.,CelestialBody,unseen,0.188,0.0532150776053215,77.143,neural,1triple,2.3333333333333335,2.6666666666666665,1.0
23,101_Helena | apoapsis | 441092000.0 (kilometres),melbourne,101 helena is 441092000.0.,CelestialBody,unseen,0.077,0.366727758075205,68.571,neural,1triple,2.3333333333333335,2.3333333333333335,2.0
24,101_Helena | apoapsis | 441092000.0 (kilometres),pkuwriter,the apoapsis of 101 helena is 441092000. 0 (kilometres).,CelestialBody,unseen,0.489,0.530384640485867,34.286,neural,1triple,3.0,3.0,3.0
25,101_Helena | apoapsis | 441092000.0 (kilometres),tilburg-nmt,the chair of 101 helena is 441092000.0 (kilometres).,CelestialBody,unseen,0.251,0.457108438269054,51.429,neural,1triple,2.2,2.2,1.2
26,101_Helena | apoapsis | 441092000.0 (kilometres),tilburg-pipe,,CelestialBody,unseen,0,0,94.286,template,1triple,1.0,1.0,1.0
27,101_Helena | apoapsis | 441092000.0 (kilometres),tilburg-smt,101 helena apoapsis 441092000.0 (kilometres),CelestialBody,unseen,0.079,0.446125259091028,68.571,smt,1triple,1.75,1.75,3.0
28,101_Helena | apoapsis | 441092000.0 (kilometres),upf-forge,the apoapsis of 101 helena is 4.41092e8 kilometers.,CelestialBody,unseen,0.468,0.369609697055623,42.857,template,1triple,2.6666666666666665,3.0,3.0
29,101_Helena | apoapsis | 441092000.0 (kilometres),vietnam,null,CelestialBody,unseen,0,0,94.286,template,1triple,1.0,1.0,1.0
30,101_Helena | apoapsis | 441092000.0 (kilometres),webnlg,"101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .
",CelestialBody,unseen,1,1,1,human,1triple,3.0,3.0,3.0
31,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",adapt,"the american james castle watson is the discovers of 101 helery, which is located in madison, and attended the university of michigan. he was a disnovel that was created by the american james castle and the american, james castle.",CelestialBody,unseen,0.088,0.226918906000455,107.865,neural,5triple,1.6666666666666667,1.6666666666666667,1.3333333333333333
32,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",baseline,the port authority of headquarter and mary is the birthplace of the port authority of headquarter and new jersey.,CelestialBody,unseen,0.189,0.0290909090909091,80.899,neural,5triple,1.3333333333333333,1.6666666666666667,1.0
33,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",melbourne,"101 helena, which is located in madison, wisconsin, is affiliated with james craig watson and is affiliated with university of michigan.",CelestialBody,unseen,0.129,0.283442237753601,70.787,neural,5triple,2.0,2.6666666666666665,1.3333333333333333
34,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",pkuwriter,the american dish of astronaut is from the canada.,CelestialBody,unseen,0.042,0.0276100086281277,84.27,neural,5triple,2.3333333333333335,2.3333333333333335,1.0
35,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",tilburg-nmt,august 15th 1868 is appointed president of james craig watson which is affiliated to university of michigan and has 101 helena as canada. james craig watson is located in august 15th 1868 and canada issn number of the university is it.,CelestialBody,unseen,0.124,0.264788829311734,104.494,neural,5triple,1.5,2.0,2.0
36,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",tilburg-pipe,"james craig watson is canada. james craig watson graduated from university of michigan. it died in madison, wisconsin.",CelestialBody,unseen,0.127,0.250543969625243,64.045,template,5triple,1.0,1.3333333333333333,1.3333333333333333
37,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",tilburg-smt,"101 helena discoverer james craig watson james craig watson. he graduated from university of michigan 101 helena discovered 1868-08-15 james craig watson, canada james craig watson died in madison, wisconsin",CelestialBody,unseen,0.192,0.334671765274095,74.157,smt,5triple,1.3333333333333333,1.6666666666666667,3.0
38,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",upf-forge,"james craig watson, who graduated from university of michigan, discovered 101 helena, discovered on august 15 (1868). he is from canada. he died in madison (wisconsin).",CelestialBody,unseen,0.153,0.389804005128587,67.416,template,5triple,1.6666666666666667,1.6666666666666667,3.0
39,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",vietnam,null,CelestialBody,unseen,0,0,87.64,template,5triple,1.0,1.0,1.0
40,"101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | almaMater | University_of_Michigan<br>101_Helena | discovered | 1868-08-15<br>James_Craig_Watson | nationality | Canada<br>James_Craig_Watson | deathPlace | Madison,_Wisconsin",webnlg,"james craig watson , who discovered 101 helena on 15th august 1868 , is a canadian national who attended the university of michigan . he died in madison , wisconsin .
",CelestialBody,unseen,1,1,1,human,5triple,3.0,2.6666666666666665,3.0
41,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,adapt,james craero watson is the discoverts of james patson and he died in california.,CelestialBody,unseen,0.268,0.159420289855072,91.667,neural,2triple,1.3333333333333333,1.0,1.0
42,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,baseline,the polish academy of sciences is in regionserved.,CelestialBody,unseen,0.136,0.0313725490196078,91.667,neural,2triple,1.0,1.0,1.0
43,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,melbourne,"peritonitis is the parent company of james craig watson, which is the location of 101 helena.",CelestialBody,unseen,0.184,0.355344901718587,108.333,neural,2triple,2.3333333333333335,2.6666666666666665,2.3333333333333335
44,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,pkuwriter,"james craig watson, who died of peritonitis, discovered 101 helena.",CelestialBody,unseen,0.314,0.944827586206897,41.667,neural,2triple,2.6666666666666665,3.0,3.0
