,X_unit_id,X_worker_id,fluency,grammaticality,semantic_adequacy,mr,team,text,category,type,bleu,meteor,ter,systemtype,triplesize
1,1433935686,13581319,3,1,1,"Elliot_See | deathDate | ""1966-02-28""",tilburg-smt,"on february 28, 1966.",Astronaut,seen,0.074,0.3546282313,75,smt,1triple
2,1433935686,43942797,3,3,3,"Elliot_See | deathDate | ""1966-02-28""",tilburg-smt,"on february 28, 1966.",Astronaut,seen,0.074,0.3546282313,75,smt,1triple
3,1433935687,43891892,3,2,3,Batagor | dishVariation | Shumai,pkuwriter,shumai can be included in arrabbiaita sauce.,Food,seen,0.199,0.1618640991,75,neural,1triple
4,1433935687,43942797,3,3,3,Batagor | dishVariation | Shumai,pkuwriter,shumai can be included in arrabbiaita sauce.,Food,seen,0.199,0.1618640991,75,neural,1triple
5,1433935687,44014780,1,1,1,Batagor | dishVariation | Shumai,pkuwriter,shumai can be included in arrabbiaita sauce.,Food,seen,0.199,0.1618640991,75,neural,1triple
6,1433935688,43891892,3,2,3,"1001_Gaussia | formerName | ""1923 OAA907 XC""",baseline,the operator of antwerp is mayor.,CelestialBody,unseen,0.135,0.0642570281,88.235,neural,1triple
7,1433935688,43942797,3,3,3,"1001_Gaussia | formerName | ""1923 OAA907 XC""",baseline,the operator of antwerp is mayor.,CelestialBody,unseen,0.135,0.0642570281,88.235,neural,1triple
8,1433935688,44014780,1,1,1,"1001_Gaussia | formerName | ""1923 OAA907 XC""",baseline,the operator of antwerp is mayor.,CelestialBody,unseen,0.135,0.0642570281,88.235,neural,1triple
9,1433935689,43891892,3,3,2,Indonesia | language | Indonesian_language,upf-forge,the indonesian language is spoken in indonesia.,Food,seen,0.352,0.4371962921,50,template,1triple
10,1433935689,43913997,3,3,3,Indonesia | language | Indonesian_language,upf-forge,the indonesian language is spoken in indonesia.,Food,seen,0.352,0.4371962921,50,template,1triple
11,1433935689,30766630,3,3,3,Indonesia | language | Indonesian_language,upf-forge,the indonesian language is spoken in indonesia.,Food,seen,0.352,0.4371962921,50,template,1triple
12,1433935689,31613324,3,3,3,Indonesia | language | Indonesian_language,upf-forge,the indonesian language is spoken in indonesia.,Food,seen,0.352,0.4371962921,50,template,1triple
13,1433935690,43891892,3,2,2,Batagor | dishVariation | Shumai,webnlg,"batagor and shumai are variations on the same dish .
",Food,seen,1,1,1,human,1triple
14,1433935690,43913997,3,3,3,Batagor | dishVariation | Shumai,webnlg,"batagor and shumai are variations on the same dish .
",Food,seen,1,1,1,human,1triple
15,1433935690,30766630,3,3,3,Batagor | dishVariation | Shumai,webnlg,"batagor and shumai are variations on the same dish .
",Food,seen,1,1,1,human,1triple
16,1433935690,31613324,3,3,3,Batagor | dishVariation | Shumai,webnlg,"batagor and shumai are variations on the same dish .
",Food,seen,1,1,1,human,1triple
17,1433935691,43891892,2,2,3,Karl_Kesel | nationality | Americans,tilburg-pipe,karl kesel is american.,ComicsCharacter,seen,0.268,0.4645695216,42.857,template,1triple
18,1433935691,19638651,3,3,3,Karl_Kesel | nationality | Americans,tilburg-pipe,karl kesel is american.,ComicsCharacter,seen,0.268,0.4645695216,42.857,template,1triple
19,1433935691,43913997,3,3,3,Karl_Kesel | nationality | Americans,tilburg-pipe,karl kesel is american.,ComicsCharacter,seen,0.268,0.4645695216,42.857,template,1triple
20,1433935691,31883685,3,3,3,Karl_Kesel | nationality | Americans,tilburg-pipe,karl kesel is american.,ComicsCharacter,seen,0.268,0.4645695216,42.857,template,1triple
21,1433935692,43891892,3,1,3,"Ben_Urich | fullName | ""Benjamin Urich""",pkuwriter,"the full name of ben urich is "" benjamin urich "".",ComicsCharacter,seen,0.31,0.4070230844,57.143,neural,1triple
22,1433935692,19638651,3,3,3,"Ben_Urich | fullName | ""Benjamin Urich""",pkuwriter,"the full name of ben urich is "" benjamin urich "".",ComicsCharacter,seen,0.31,0.4070230844,57.143,neural,1triple
23,1433935692,43913997,3,3,3,"Ben_Urich | fullName | ""Benjamin Urich""",pkuwriter,"the full name of ben urich is "" benjamin urich "".",ComicsCharacter,seen,0.31,0.4070230844,57.143,neural,1triple
24,1433935692,31883685,3,3,3,"Ben_Urich | fullName | ""Benjamin Urich""",pkuwriter,"the full name of ben urich is "" benjamin urich "".",ComicsCharacter,seen,0.31,0.4070230844,57.143,neural,1triple
