team,,bleu,meteor,ter
melbourne,all-cat,45.13,0.3763962007897742,0.47440303246041
melbourne,old-cat,54.52,0.41464200677574886,0.4025981409363541
melbourne,new-cat,33.27,0.3322133982986484,0.5592123486012133
melbourne,1size,63.81,0.47192196487174315,0.2741200260479145
melbourne,2size,51.25,0.4213930729245464,0.3898333058260441
melbourne,3size,43.42,0.3766572844369836,0.4702332848445664
melbourne,4size,42.14,0.3588868093726206,0.520130447672695
melbourne,5size,36.72,0.32776476514942016,0.5797031908695203
melbourne,6size,52.16,0.37853123377615727,0.4691729323308271
melbourne,7size,48.65,0.3556139422112573,0.46721709567751335
tilb-smt,all-cat,44.28,0.38046316060733304,0.537692174481922
tilb-smt,old-cat,54.29,0.4210245525267204,0.4704795474572899
tilb-smt,new-cat,29.88,0.33332867550840367,0.6170775312869836
tilb-smt,1size,52.16,0.4123541302987151,0.3670699523597355
tilb-smt,2size,48.16,0.39977338634650983,0.4644330747648129
tilb-smt,3size,43.42,0.3807555611147175,0.5358547492053228
tilb-smt,4size,42.44,0.37272812721019694,0.5735843462792767
tilb-smt,5size,38.68,0.36104453708466533,0.61527915824108
tilb-smt,6size,49.71,0.4040621855918025,0.5657142857142857
tilb-smt,7size,44.44,0.39049548485944713,0.6362311801845556
pkuwriter,all-cat,39.88,0.3174210371240728,0.5530007119355018
pkuwriter,old-cat,51.23,0.3772944072879912,0.45005543079678223
pkuwriter,new-cat,25.36,0.24894234227933051,0.6745901845743203
pkuwriter,1size,53.15,0.415371285973917,0.3713884223874971
pkuwriter,2size,45.34,0.35551013154725875,0.48126753589701293
pkuwriter,3size,34.95,0.3013658868402744,0.6019072248262484
pkuwriter,4size,36.84,0.29263497508137276,0.5894159501927069
pkuwriter,5size,34.17,0.2744527370580509,0.6234019947218696
pkuwriter,6size,52.89,0.3892590661576008,0.4258646616541354
pkuwriter,7size,52.86,0.38192083891278267,0.4662457503642545
upf-forge,all-cat,38.65,0.3910767784663624,0.5593273171576449
upf-forge,old-cat,40.88,0.4058671829716322,0.559126183234316
upf-forge,new-cat,35.7,0.37362122799672115,0.559564877999647
upf-forge,1size,60.29,0.46927943332772293,0.27062412173972655
upf-forge,2size,43.24,0.4097000031715538,0.46773394949661684
upf-forge,3size,36.84,0.38358161663511875,0.5676418296427992
upf-forge,4size,35.54,0.37688342556538473,0.622324340349837
upf-forge,5size,32.66,0.3677475895577079,0.6654556671350718
upf-forge,6size,38.33,0.4028036563575311,0.5981954887218045
upf-forge,7size,37.84,0.3994107389557668,0.6546867411364741
tilb-pipeline,all-cat,35.29,0.3083401410609527,0.566023359181081
tilb-pipeline,old-cat,44.34,0.38239237838793705,0.4885585150231673
tilb-pipeline,new-cat,20.65,0.21625392483578004,0.6575176894215995
tilb-pipeline,1size,44.81,0.3231921221983646,0.47585426877334897
tilb-pipeline,2size,34.84,0.3181933930606118,0.5152665456345934
